,10.0,20.0,30.0,40.0,50.0,60.0,70.0,port
0,0.4683,0.7903,0.4802,0.7996,0.601,0.3188,0.2924,winner
1,0.5252,0.4751,1.11,0.7214,0.572,0.7334,0.5333,loser
2,-0.0569,0.3152,-0.6298,0.0782,0.029,-0.4146,-0.2408,w_l
3,0.548,1.0673,1.5029,1.8539,0.3048,0.573,0.3598,winner
4,0.5804,0.5515,1.2915,0.4113,0.7491,0.8015,1.3307,loser
5,-0.0323,0.5158,0.2114,1.4426,-0.4443,-0.2285,-0.9709,w_l
6,0.7211,0.9774,2.0682,0.9595,0.4509,0.7233,-0.3973,winner
7,0.6724,0.7246,0.4714,1.8264,0.6879,0.6861,-0.3568,loser
8,0.0487,0.2528,1.5968,-0.8669,-0.2371,0.0372,-0.0405,w_l
9,0.5102,0.5105,1.5788,0.8342,0.9441,-0.411,0.6281,winner
10,0.7972,0.7899,1.1743,0.9637,0.7541,-0.3316,0.7428,loser
11,-0.287,-0.2794,0.4045,-0.1296,0.19,-0.0794,-0.1146,w_l
